----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:31 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
JA_player0	player2_player1	0.305600498605	8.0
JA_player2	player0_player1	0.161659011529	-9.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 15:21 - AGENT-M |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	0	0
player2	mainscreen	15	8967.2
player2	player0	11	1744.2727272727273
player2	player1	9	1287.5555555555557
player2	elsewhere	0	0
player0	player2	11	1994.1818181818182
player0	mainscreen	45	1340.2666666666667
player0	player0	0	0
player0	player1	13	1518.8461538461538
player0	elsewhere	39	1644.2820512820513
player1	player2	11	1848.909090909091
player1	mainscreen	22	2925.590909090909
player1	player0	16	1765.3125
player1	player1	0	0
player1	elsewhere	38	1377.157894736842
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	11	1619.7272727272727
MT	player2_player0	1	2168.0
MT	player0_player2	10	1564.9
Total_MT	player2_player1	9	1034.111111111111
MT	player2_player1	3	677.3333333333334
MT	player1_player2	6	1212.5
Total_MT	player0_player1	8	764.375
MT	player0_player1	5	809.0
MT	player1_player0	3	690.0
Total_JA	player2_player0_mainscreen	45	1197.8
JA	player2_player0_mainscreen	35	1219.0857142857142
JA	player0_player2_mainscreen	10	1123.3
Total_JA	player2_player1_mainscreen	23	2435.8260869565215
JA	player2_player1_mainscreen	21	2579.190476190476
JA	player1_player2_mainscreen	2	930.5
Total_JA	player0_player1_mainscreen	29	930.551724137931
JA	player0_player1_mainscreen	8	827.875
JA	player1_player0_mainscreen	21	969.6666666666666
Total_JA	player2_player0_player1	0	nan
JA	player2_player0_player1	0	nan
JA	player0_player2_player1	0	nan
Total_JA	player2_player1_player0	1	3.0
JA	player2_player1_player0	1	3.0
JA	player1_player2_player0	0	nan
Total_JA	player0_player1_player2	7	859.0
JA	player0_player1_player2	4	417.0
JA	player1_player0_player2	3	1448.3333333333333
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.857242264839	2.0
MUTUAL_GAZE	player2_player1	0.665517382062	-1.0
MUTUAL_GAZE	player0_player1	0.257825322591	-1.0
JA_mainscreen	player2_player0	0.596058224028	4.0
JA_mainscreen	player2_player1	0.624100921455	-31.0
JA_mainscreen	player0_player1	0.497050243447	-39.0
JA_player1	player2_player0	0.119217533588	50.0
JA_player0	player2_player1	0.163478743134	-50.0
JA_player2	player0_player1	0.336749377377	-48.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 15:27 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	1	2812.0
player2	mainscreen	17	5168.176470588235
player2	player0	10	2845.3
player2	player1	10	1714.8
player2	elsewhere	1	1000.0
player0	player2	5	1377.6
player0	mainscreen	42	1611.7380952380952
player0	player0	0	0
player0	player1	3	660.6666666666666
player0	elsewhere	45	1345.3111111111111
player1	player2	12	1744.9166666666667
player1	mainscreen	15	1437.2666666666667
player1	player0	7	1374.857142857143
player1	player1	0	0
player1	elsewhere	30	2855.5
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	4	1337.25
MT	player2_player0	0	nan
MT	player0_player2	4	1337.25
Total_MT	player2_player1	9	1406.888888888889
MT	player2_player1	1	1816.0
MT	player1_player2	8	1355.75
Total_MT	player0_player1	2	683.5
MT	player0_player1	0	nan
MT	player1_player0	2	683.5
Total_JA	player2_player0_mainscreen	37	1463.2432432432433
JA	player2_player0_mainscreen	27	1381.5555555555557
JA	player0_player2_mainscreen	10	1683.8
Total_JA	player2_player1_mainscreen	15	1393.2666666666667
JA	player2_player1_mainscreen	12	1449.5
JA	player1_player2_mainscreen	3	1168.3333333333333
Total_JA	player0_player1_mainscreen	17	711.5294117647059
JA	player0_player1_mainscreen	9	625.1111111111111
JA	player1_player0_mainscreen	8	808.75
Total_JA	player2_player0_player1	1	159.0
JA	player2_player0_player1	0	nan
JA	player0_player2_player1	1	159.0
Total_JA	player2_player1_player0	7	1372.5714285714287
JA	player2_player1_player0	1	1653.0
JA	player1_player2_player0	6	1325.8333333333333
Total_JA	player0_player1_player2	4	753.5
JA	player0_player1_player2	1	413.0
JA	player1_player0_player2	3	867.0
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.40437682412	7.0
MUTUAL_GAZE	player2_player1	0.660932045898	-1.0
MUTUAL_GAZE	player0_player1	0.318841263072	-2.0
JA_mainscreen	player2_player0	0.701758409218	0.0
JA_mainscreen	player2_player1	0.482219936148	3.0
JA_mainscreen	player0_player1	0.383012018336	43.0
JA_player1	player2_player0	0.102537889054	-50.0
JA_player0	player2_player1	0.582202037421	0.0
JA_player2	player0_player1	0.260573894548	3.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 17: 5 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	1	1001.0
player2	mainscreen	19	4252.421052631579
player2	player0	12	1179.9166666666667
player2	player1	16	1776.8125
player2	elsewhere	0	0
player0	player2	5	1335.0
player0	mainscreen	35	1458.142857142857
player0	player0	0	0
player0	player1	4	979.0
player0	elsewhere	32	2032.875
player1	player2	14	2891.1428571428573
player1	mainscreen	13	3951.6153846153848
player1	player0	8	1751.125
player1	player1	0	0
player1	elsewhere	16	1299.0625
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	5	1013.6
MT	player2_player0	1	904.0
MT	player0_player2	4	1041.0
Total_MT	player2_player1	11	1703.5454545454545
MT	player2_player1	2	2002.0
MT	player1_player2	9	1637.2222222222222
Total_MT	player0_player1	2	1054.5
MT	player0_player1	0	nan
MT	player1_player0	2	1054.5
Total_JA	player2_player0_mainscreen	34	1054.0882352941176
JA	player2_player0_mainscreen	19	1212.0
JA	player0_player2_mainscreen	15	854.0666666666667
Total_JA	player2_player1_mainscreen	12	3942.3333333333335
JA	player2_player1_mainscreen	8	4777.5
JA	player1_player2_mainscreen	4	2272.0
Total_JA	player0_player1_mainscreen	17	960.0
JA	player0_player1_mainscreen	6	872.8333333333334
JA	player1_player0_mainscreen	11	1007.5454545454545
Total_JA	player2_player0_player1	4	648.25
JA	player2_player0_player1	0	nan
JA	player0_player2_player1	4	648.25
Total_JA	player2_player1_player0	8	849.625
JA	player2_player1_player0	1	1.0
JA	player1_player2_player0	7	970.8571428571429
Total_JA	player0_player1_player2	3	964.6666666666666
JA	player0_player1_player2	1	632.0
JA	player1_player0_player2	2	1131.0
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.518215833859	1.0
MUTUAL_GAZE	player2_player1	0.65428645026	1.0
MUTUAL_GAZE	player0_player1	0.342406475103	10.0
JA_mainscreen	player2_player0	0.551728258055	0.0
JA_mainscreen	player2_player1	0.733805738293	0.0
JA_mainscreen	player0_player1	0.374710114314	-42.0
JA_player1	player2_player0	0.239894273985	0.0
JA_player0	player2_player1	0.477963725108	0.0
JA_player2	player0_player1	0.22378930911	-49.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 17:20 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	1	1000.0
player2	mainscreen	20	4538.55
player2	player0	11	1409.1818181818182
player2	player1	16	1175.1875
player2	elsewhere	0	0
player0	player2	6	1807.8333333333333
player0	mainscreen	29	1968.6206896551723
player0	player0	0	0
player0	player1	5	690.6
player0	elsewhere	28	1982.9285714285713
player1	player2	14	1477.4285714285713
player1	mainscreen	24	2541.4166666666665
player1	player0	9	2242.3333333333335
player1	player1	0	0
player1	elsewhere	15	1616.0666666666666
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	5	1210.6
MT	player2_player0	1	343.0
MT	player0_player2	4	1427.5
Total_MT	player2_player1	12	957.25
MT	player2_player1	0	nan
MT	player1_player2	12	957.25
Total_MT	player0_player1	3	826.3333333333334
MT	player0_player1	0	nan
MT	player1_player0	3	826.3333333333334
Total_JA	player2_player0_mainscreen	29	1639.7931034482758
JA	player2_player0_mainscreen	18	1857.9444444444443
JA	player0_player2_mainscreen	11	1282.8181818181818
Total_JA	player2_player1_mainscreen	24	2417.2083333333335
JA	player2_player1_mainscreen	14	2351.0
JA	player1_player2_mainscreen	10	2509.9
Total_JA	player0_player1_mainscreen	21	1337.2380952380952
JA	player0_player1_mainscreen	8	1183.375
JA	player1_player0_mainscreen	13	1431.923076923077
Total_JA	player2_player0_player1	5	688.8
JA	player2_player0_player1	2	558.5
JA	player0_player2_player1	3	775.6666666666666
Total_JA	player2_player1_player0	8	1193.75
JA	player2_player1_player0	2	851.5
JA	player1_player2_player0	6	1307.8333333333333
Total_JA	player0_player1_player2	5	1204.4
